Organisation,Country,maxRating,avgRating,numUsers
1234huang Fan Club,China,2158,2104.0,4
Fan-Club Minato Aqua,Russia,2163,2163.0,1
NIS Kostanai,Kazakhstan,2237,1920.0,2
Radboud University Nijmegen,Hungary,2223,2223.0,1
SYOI,Hong Kong,2241,2241.0,1
IOI 94,United States,2381,2381.0,1
IIT Patna,India,2172,1590.536231884058,69
Chongqing Yucai Middle School,China,2156,2143.0,2
Quzhou Huamao Foreign Languages School,China,2199,1956.0,2
FRITL,Azerbaijan,2154,1652.75,4
Akamai Technologies,India,2359,2359.0,1
TU Eindhoven,Romania,2186,2186.0,1
elsantodel90 fan club,Argentina,2205,1855.5,2
Quanzhou No.5 High School,China,2152,2130.5,2
PMS SFU,Russia,2500,1742.857142857143,7
Tudor Vianu National High School,Romania,2268,2039.888888888889,9
Beijing Institute of Technology,China,2441,2018.6,5
Chongqing University,China,2148,1792.0,2
Nizhny Novgorod SU,Russia,2338,2167.3333333333335,3
Petrozavodsk SU,Russia,2164,1935.6666666666667,3
University of Oulu,Finland,2147,2147.0,1
The American University in Cairo,Egypt,2147,2147.0,1
el medonho fanclub,Brazil,2147,1694.25,4
Carmel HS,United States,2226,2226.0,1
Rhodes Island,China,2147,1932.5,2
Xi’an Technological University,China,2147,1850.75,4
cqbzdj fan club,China,2204,2095.0,3
High School Affiliated to Southwest University,China,2146,1853.8,5
Hokkaido University,Japan,2146,2095.0,2
Duong Canh fanclub,Philippines,2145,2145.0,1
Internazionale Milano,China,2150,2150.0,1
Nankai University,China,2505,2052.3333333333335,3
IIT Mandi,India,2351,1583.090909090909,11
CLIK,South Korea,2257,2257.0,1
MeowMeowMeow Kindergarten,China,2144,2144.0,1
hxh Fan Club,China,2325,2325.0,1
UFG - Universidade Feredal de Goias,Brazil,2167,1848.0,2
qwq,China,2143,2143.0,1
Meta,United Kingdom,2675,2444.6666666666665,3
Financial University,Russia,2142,1827.0,2
UETO,Brazil,2292,1695.5714285714287,7
IIT Bhubaneswar,India,2142,1657.111111111111,9
No.2 Middle School of Licheng,China,2315,2315.0,1
