name,type,value,date
cnnfls_csy,China,0,2014/04/06
Radewoosh,Poland,0,2014/04/06
gyh20,China,0,2014/04/06
Rebelz,China,0,2014/04/06
Geothermal,United States,0,2014/04/06
gamegame,Hong Kong,0,2014/04/06
fivedemands,Hong Kong,0,2014/04/06
maroonrk,Japan,0,2014/04/06
ugly2333,China,0,2014/04/06
Ormlis,Russia,0,2014/04/06
maspy,Japan,0,2014/04/06
VivaciousAubergine,China,0,2014/04/06
potato167,Japan,0,2014/04/06
ko_osaga,South Korea,0,2014/04/06
QuietBeautifulThoughts,China,0,2014/04/06
p_b_p_b,China,0,2014/04/06
PubabaOnO,China,0,2014/04/06
MyBotDear,Unknown,0,2014/04/06
Elegia,China,0,2014/04/06
QAQAutoMaton,China,0,2014/04/06
Isonan,China,0,2014/04/06
noimi,Japan,0,2014/04/06
244mhq,Belarus,0,2014/04/06
skip2004,China,0,2014/04/06
A_G,United States,0,2014/04/06
353cerega,Unknown,0,2014/04/06
Qingyu,Unknown,0,2014/04/06
conqueror_of_tourist,United States,0,2014/04/06
FastFreeTask,Unknown,0,2014/04/06
MagicalFlower,China,0,2014/04/06
Kevin114514,China,0,2014/04/06
MagicSpark,Antarctica,0,2014/04/06
HaitangSuki,China,0,2014/04/06
hitonanode,Japan,0,2014/04/06
huzhaoyang,Unknown,0,2014/04/06
duality,Canada,0,2014/04/06
TLE,China,0,2014/04/06
Maksim1744,Russia,0,2014/04/06
aaaaawa,China,0,2014/04/06
sjcsjcsjc,China,0,2014/04/06
turmax,Russia,0,2014/04/06
Kubic,China,0,2014/04/06
cmll02,China,0,2014/04/06
Pub,China,0,2014/04/06
gisp_zjz,China,0,2014/04/06
Alex_Wei,China,0,2014/04/06
dorijanlendvaj,Croatia,0,2014/04/06
Crystally,Unknown,0,2014/04/06
isaf27,Russia,0,2014/04/06
AmazingTalker_Frank,Germany,0,2014/04/06
tute7627,Japan,0,2014/04/06
BigYellowDuck,China,0,2014/04/06
TLEwpdus,South Korea,0,2014/04/06
heno239,Japan,0,2014/04/06
arvindf232,Hong Kong,0,2014/04/06
Chtholly-Nota-Seniorious,Unknown,0,2014/04/06
AlternatingCurrent,Antarctica,0,2014/04/06
YamadaRyo,Japan,0,2014/04/06
antontrygubO_o,Ukraine,0,2014/04/06
PinkieRabbit,China,0,2014/04/06
dXqwq,China,0,2014/04/06
SSRS_,Japan,0,2014/04/06
peti1234,Hungary,0,2014/04/06
qiuzx,Antarctica,0,2014/04/06
tzc_wk,China,0,2014/04/06
ttklwxx,China,0,2014/04/06
StarSilk,Unknown,0,2014/04/06
A.K.E.E.,China,0,2014/04/06
never_giveup,Russia,0,2014/04/06
kotatsugame,Japan,0,2014/04/06
fengqiyuka,China,0,2014/04/06
hank55663,Taiwan,0,2014/04/06
PCTprobability,Japan,0,2014/04/06
Flamire,Unknown,0,2014/04/06
alireza_kaviani,Iran,0,2014/04/06
Forested,Japan,0,2014/04/06
Szoboszlai10,Hungary,0,2014/04/06
Melusine,China,0,2014/04/06
E869120,Japan,0,2014/04/06
crazy_sea,China,0,2014/04/06
Kuroni,Vietnam,0,2014/04/06
-Eternity-,Unknown,0,2014/04/06
The_Noble_Brahman_Bison,China,0,2014/04/06
Kapt,Russia,0,2014/04/06
tourist,Belarus,3228,2014/05/11
Petr,Switzerland,2734,2014/05/11
hos.lyric,Japan,2637,2014/05/11
Egor,Germany,2505,2014/05/11
snuke,Japan,2341,2014/05/11
ecnerwala,United States,2306,2014/05/11
Um_nik,Ukraine,2248,2014/05/11
